source,target,seed,method,same_shared_config,same_initial_model,same_source_batch_order,different_final_checkpoint,different_batchnorm_running_buffers,zscore_batchnorm_sha256,minmax_batchnorm_sha256,evaluation_count,zscore_target_outside_0_1_fraction,minmax_target_outside_0_1_fraction
c4,c6,46,source_only,True,True,True,True,True,b1a2cc6a5ef39df55b05d9688c1e930b9575bc0e2fb40409a614553d94b69fad,00d50b3e1479f1930db6a0c9a686747a0163bc235f7969ae7631828e8d0e788b,315,0.8469865102616567,0.0021192116712136244
c4,c6,46,daregram,True,True,True,True,True,5dec98383290dd73ce915f38b52e2e1952a227e54b3f7161feae73b4a837c0ae,c8bba10787c70be7002c75bfd879628f266fb7cdbb4443504b291141129b930b,315,0.8469865102616567,0.0021192116712136244
c6,c1,42,source_only,True,True,True,True,True,754225eeb683ca0928b6829f88a98468d44401648c981677e5c9cd877840f09b,4cc4d796fb664bde4c525d8cea5dd6ecbf290ead3b7efd3cee25032c2e8c328e,315,0.8820760737020502,0.00022828440186838624
c6,c1,42,daregram,True,True,True,True,True,6622a4a49879d9f583e6977dbb57b6d46d4d533ba9a294521c304060bbc6c6bd,920299bb22b6e30e64e0132dba6960a0dbd95f0a9330375a30a51c1b1e44347e,315,0.8820760737020502,0.00022828440186838624
c6,c1,43,source_only,True,True,True,True,True,df536fa6da7fb1d1fcc125f04a9d642e27b72a6847147ebe2e815431a58d544d,b065b6aac7d48d98f8d8ebb652e23b710c645e9ed3ea9f5d27d9fead54847747,315,0.8820760737020502,0.00022828440186838624
c6,c1,43,daregram,True,True,True,True,True,163a882e04583dfe95aceb89cd375462fc7dc399429f4fbb0634843c60c07325,8442cc06c289ad625da89b286d53fda37ec323eb7d943f46f762e4fa9ee79631,315,0.8820760737020502,0.00022828440186838624
c6,c1,44,source_only,True,True,True,True,True,bdcafcba95399fd7cc6eba2fd2c193d9acaa9bf5a15d95278cfe9c3660fc4b21,2024513ee142bf8566f034093e67d728de2dcb3d432cb352fad5c6e4337f18c1,315,0.8820760737020502,0.00022828440186838624
c6,c1,44,daregram,True,True,True,True,True,48200f528435dc5eba506f2737a9d02185934102faaee8c4d7cb15125732524f,afdcc530bfc2cca22bd76670787e924721f21f970da5fa5e75de4901d419e497,315,0.8820760737020502,0.00022828440186838624
c6,c1,45,source_only,True,True,True,True,True,878cd8e324fad80e944b8ba723618b96bc90ba4afe4f66a3012e4dc85823f31d,9c6ee8bf4e192c6b85a48d5a8d6f2322dc21ae706e1bf4e85927496439ff92ef,315,0.8820760737020502,0.00022828440186838624
c6,c1,45,daregram,True,True,True,True,True,a8e544fda6cd682c22503eaa410bccbc961075bf44fca2a51ac05f038b42f482,4c6a629f1fc8890e00891c20465c41787ddfb6175a72559861022894f1024f0b,315,0.8820760737020502,0.00022828440186838624
c6,c1,46,source_only,True,True,True,True,True,5c1c859069b6125ff915cd310d281ed276da66d6e3ab9d726285d598ddefa368,d2308457d5daaee285c2ec866031ecb512f351e86475d8aad72618cba1c26146,315,0.8820760737020502,0.00022828440186838624
c6,c1,46,daregram,True,True,True,True,True,ea49fb3b0505e540b744f7aff1c6a50483f8094bcdc366d89ddb151af1c196cd,0ef9d0af3eae8f03121ac31bfb1bda9f5467f15b6df76c516002d3bc160eee6a,315,0.8820760737020502,0.00022828440186838624
c6,c4,42,source_only,True,True,True,True,True,754225eeb683ca0928b6829f88a98468d44401648c981677e5c9cd877840f09b,4cc4d796fb664bde4c525d8cea5dd6ecbf290ead3b7efd3cee25032c2e8c328e,315,0.8926742311507937,3.096969039351852e-05
c6,c4,42,daregram,True,True,True,True,True,ff342d6e43aebaa40990ac0a41f0331b54ba4fef99ac67a8abfae36f69dc3000,8b437fe6f9f15901d9c109f5b045edc31ffa4a9cb91b7e8906852ba44451254d,315,0.8926742311507937,3.096969039351852e-05
c6,c4,43,source_only,True,True,True,True,True,df536fa6da7fb1d1fcc125f04a9d642e27b72a6847147ebe2e815431a58d544d,b065b6aac7d48d98f8d8ebb652e23b710c645e9ed3ea9f5d27d9fead54847747,315,0.8926742311507937,3.096969039351852e-05
c6,c4,43,daregram,True,True,True,True,True,74c8924dfbc16ec28bae0d474670217b0d11cae5b725da25d929dd6d448f0ca6,6a4329a853de78015e4440cfaf9712dec20246b46e017e2a806cdf41245d15f0,315,0.8926742311507937,3.096969039351852e-05
c6,c4,44,source_only,True,True,True,True,True,bdcafcba95399fd7cc6eba2fd2c193d9acaa9bf5a15d95278cfe9c3660fc4b21,2024513ee142bf8566f034093e67d728de2dcb3d432cb352fad5c6e4337f18c1,315,0.8926742311507937,3.096969039351852e-05
c6,c4,44,daregram,True,True,True,True,True,927c2f51c93eb9c2b842de61b38e5c63bc9b86d462d9a17a1a395a48dd94ad51,108e7cf7e79824271a152f17e6ae65c709ba601518ba62bc6bda8a417d37aa65,315,0.8926742311507937,3.096969039351852e-05
c6,c4,45,source_only,True,True,True,True,True,878cd8e324fad80e944b8ba723618b96bc90ba4afe4f66a3012e4dc85823f31d,9c6ee8bf4e192c6b85a48d5a8d6f2322dc21ae706e1bf4e85927496439ff92ef,315,0.8926742311507937,3.096969039351852e-05
c6,c4,45,daregram,True,True,True,True,True,0b475def314b91838386b2187daad957e1ee837ca9d8dc51655d5c2a01daafe2,ea2e3b4cfefa0f41c126ca2b62b939d068b1c1880ef8403bf5793548553f517a,315,0.8926742311507937,3.096969039351852e-05
c6,c4,46,source_only,True,True,True,True,True,5c1c859069b6125ff915cd310d281ed276da66d6e3ab9d726285d598ddefa368,d2308457d5daaee285c2ec866031ecb512f351e86475d8aad72618cba1c26146,315,0.8926742311507937,3.096969039351852e-05
c6,c4,46,daregram,True,True,True,True,True,4a1ce209157505690bc37d3b6c475ac1e963bb958c11a6c999096427ebf73a8c,249e10e3beb99b81729c71d0b4cc2795ba02acd567e2bb10930b4bbe9b2e2593,315,0.8926742311507937,3.096969039351852e-05
