norm_method,source,target,seed,method,evaluation_count,MAE,RMSE,R2,MAPE_percent
zscore,c6,c1,45,source_only,315,17.319147467234778,18.370205527091606,0.5474071193958354,16.083819444009432
zscore,c6,c1,45,daregram,315,9.880452679830885,12.544255594754802,0.7889577169751286,8.777773481801564
zscore,c6,c1,46,source_only,315,20.98997124565972,22.16055499845178,0.3413708420335333,19.43287568706797
zscore,c6,c1,46,daregram,315,3.8669400896344865,5.848014536522342,0.9541333971853937,4.199055642682326
zscore,c6,c4,42,source_only,315,15.06167166573661,26.83947110250693,0.4992057037143992,11.411956183252919
zscore,c6,c4,42,daregram,315,8.627063339475603,11.361092900824337,0.9102671029327966,8.76963327630949
zscore,c6,c4,43,source_only,315,20.297917332724918,25.45716113871159,0.5494620171888862,18.673896435336953
zscore,c6,c4,43,daregram,315,11.078304411872988,14.871766075977021,0.8462424117234807,10.514979048648224
zscore,c6,c4,44,source_only,315,24.450688631572422,28.82055534479654,0.42254764463784467,23.358425034031
zscore,c6,c4,44,daregram,315,16.30484080238948,17.469349929387167,0.7878392921520465,19.2914323575837
zscore,c6,c4,45,source_only,315,13.701551540314204,20.630135657379945,0.7041199832218009,11.551746509196311
zscore,c6,c4,45,daregram,315,16.079455699617903,17.258666139610376,0.7929258333074461,19.36984254976806
zscore,c6,c4,46,source_only,315,17.66165582566034,27.393147327882602,0.4783306348941315,14.23160225655219
zscore,c6,c4,46,daregram,315,12.202320922367157,14.287686256138148,0.8580827205878734,13.637955995795062
minmax,c1,c4,42,source_only,315,12.87777795943003,16.24157724341277,0.816613285042625,13.430512143364146
minmax,c1,c4,42,daregram,315,12.647500961545916,15.6345802797111,0.8300645754838626,13.627651925771175
minmax,c1,c4,43,source_only,315,13.334363652789406,16.350208271155783,0.8141519342775443,14.305792018588908
minmax,c1,c4,43,daregram,315,14.189501093304347,17.074862674661535,0.797312994626163,15.397659611610717
minmax,c1,c4,44,source_only,315,12.336368124825617,15.969850834142449,0.8226981829558037,12.702815977296883
minmax,c1,c4,44,daregram,315,14.374985976446242,16.623324579431035,0.8078912099494452,15.719759595010501
minmax,c1,c4,45,source_only,315,11.627359626406719,15.779200123645513,0.8269062305494866,11.750831897895258
minmax,c1,c4,45,daregram,315,13.813485935756141,16.913324640279708,0.8011299252313229,14.761299977148607
minmax,c1,c4,46,source_only,315,12.738545517694385,16.145890341192406,0.8187677575341396,12.947149265852136
minmax,c1,c4,46,daregram,315,13.458650776696587,16.83743290864132,0.8029106198843983,14.534825802661896
minmax,c1,c6,42,source_only,315,14.1438233390687,22.848718649299613,0.6750732672453925,9.098646658269208
minmax,c1,c6,42,daregram,315,13.017989870101687,17.55491480351515,0.8081953216595263,9.545775644117855
minmax,c1,c6,43,source_only,315,8.975209069630456,12.129107629608622,0.9084371202179978,6.684655380450291
minmax,c1,c6,43,daregram,315,16.48703085278708,21.968274346520438,0.6996320221757899,11.476822085059618
minmax,c1,c6,44,source_only,315,16.14811101035466,23.57663805867066,0.6540403122463583,10.481063803359257
minmax,c1,c6,44,daregram,315,12.996437448168559,17.67308029980144,0.805604483086537,9.30896625727953
minmax,c1,c6,45,source_only,315,15.95290304516989,23.83123713935833,0.6465280789675485,10.306591886900774
minmax,c1,c6,45,daregram,315,18.434810275123233,24.80945654450063,0.61691403087065,12.501357359146764
minmax,c1,c6,46,source_only,315,9.904959203326515,15.024113236171829,0.8595119320073883,7.2930767245493895
minmax,c1,c6,46,daregram,315,12.835130552261594,17.953218677151007,0.7993928604974827,9.06098120534645
minmax,c4,c1,42,source_only,315,16.59630129375155,22.86521800684732,0.2988186106575066,13.870883779675816
minmax,c4,c1,42,daregram,315,17.908833004179456,22.92577291437004,0.2950997571190832,15.562961189473596
minmax,c4,c1,43,source_only,315,12.583578309558687,14.156860751393669,0.7312096899588862,12.29349657595685
minmax,c4,c1,43,daregram,315,12.732660275413876,14.150791696443573,0.7314401017034102,12.886629259328904
minmax,c4,c1,44,source_only,315,14.813945188976469,18.01174193792269,0.5648979598754145,13.556294785665553
minmax,c4,c1,44,daregram,315,12.680992986285498,16.26199255083349,0.6453277556025927,11.191245757397606
minmax,c4,c1,45,source_only,315,12.61130209423247,15.857823158292605,0.6627384524630167,11.283715141675124
minmax,c4,c1,45,daregram,315,11.622871653238933,13.773557281194181,0.7455678858615791,10.969623402243101
minmax,c4,c1,46,source_only,315,15.45922346569243,19.760083550723866,0.4763305474443069,13.741806094426545
minmax,c4,c1,46,daregram,315,13.602446674165272,15.496563390056977,0.6779298453135445,13.1222542750459
minmax,c4,c6,42,source_only,315,13.964664071703714,16.75692078572433,0.825236724058686,12.379345850922444
minmax,c4,c6,42,daregram,315,17.38925027998667,20.17040462341247,0.746784104743206,15.598677661509686
minmax,c4,c6,43,source_only,315,20.312590147956968,21.691954279272277,0.7071406430275452,16.227325832360222
minmax,c4,c6,43,daregram,315,13.313816240098742,14.890070791620994,0.8620075680216204,11.36707182778642
minmax,c4,c6,44,source_only,315,25.126368870810857,31.452449447774324,0.38429782227183207,19.035485204161066
minmax,c4,c6,44,daregram,315,16.6493590279231,18.81633572336646,0.779640463565034,14.141480832828712
minmax,c4,c6,45,source_only,315,12.479532205490841,14.942734829621221,0.8610297230708291,11.199806009792916
