Start daregram c1->c6 seed=43 init_sha256=96faf07f9c746309bc7074a67eb7c81d643a13c859613ef4c885efa350234658
daregram epoch=21/50 source_MSE=714.345142 gram=5.847342 source_order_sha256=013c8064ce031969c0c265a544dfe28453c4a6c2edc3d5fa0dd2fc018b1319e8 target_unique=315
daregram epoch=22/50 source_MSE=524.508740 gram=12.674929 source_order_sha256=6268792b1eebd4ca1f63598a992f0b25edc352b253248f22b2531416c75d92f8 target_unique=315
daregram epoch=23/50 source_MSE=379.037186 gram=7.334532 source_order_sha256=beee10ae93d7dd39cd09bd3c612d8b0981fd53ef3d357b9a7ddc13970431f549 target_unique=315
daregram epoch=24/50 source_MSE=255.205841 gram=4.861656 source_order_sha256=c2826ca971041ea14943dac7135a7186ecc0a75a9fa232468fe32217dafef427 target_unique=315
daregram epoch=25/50 source_MSE=186.098558 gram=8.571948 source_order_sha256=4a59f5611f45bf663fa17739adadbf71e0318d7c226a31110a0523b7b3fbb69e target_unique=315
daregram epoch=26/50 source_MSE=153.224535 gram=5.983080 source_order_sha256=3892a004ee89998c6d27f6fd3cbe301ee031797ffbe083138c3fba4772cec1ba target_unique=315
daregram epoch=27/50 source_MSE=114.804977 gram=9.051137 source_order_sha256=a20ed964add04ddb51aae0987e6a9153777b6dca202114dae162a9627e010899 target_unique=315
daregram epoch=28/50 source_MSE=79.011967 gram=6.192354 source_order_sha256=a1559945e237073de07c30a1546e61979a04de7a0eac2beb615d63cf5ec08219 target_unique=315
daregram epoch=29/50 source_MSE=61.962290 gram=5.842803 source_order_sha256=aa19bd88cffc0a568d2e293e975b9cd7916f42619abeeebbbf65b6f4976ea6a0 target_unique=315
daregram epoch=30/50 source_MSE=42.587162 gram=3.217911 source_order_sha256=b1966dceda9d33aa07e860c4a44569b0ea1b0f31f7aa556fc801f29266be3b05 target_unique=315
daregram epoch=31/50 source_MSE=66.913817 gram=7.162548 source_order_sha256=877fc6559c73bc6728b215bafb376bc1e9772c87a96e86c06dc1e4408b566dd5 target_unique=315
daregram epoch=32/50 source_MSE=44.317300 gram=3.566865 source_order_sha256=ad28e281637b76dbc0342ec0d452d1314f7d33a8d2f33bd25102d55d69233bc7 target_unique=315
daregram epoch=33/50 source_MSE=31.746492 gram=5.506022 source_order_sha256=bba2d40648539aed4c8a556f9125aacb5f06c54924fefe0795796deecace6db1 target_unique=315
daregram epoch=34/50 source_MSE=27.143663 gram=12.119508 source_order_sha256=d35054ccd5975d2d05fe63c9637594cfa660655f27fd0743c41550f87133fc1a target_unique=315
daregram epoch=35/50 source_MSE=11.998384 gram=4.760596 source_order_sha256=14e52c9c732e8ea3bc0443090957f73d5b619d22dc6f07c28121244343c44491 target_unique=315
daregram epoch=36/50 source_MSE=24.811363 gram=7.601416 source_order_sha256=ef32e514c0d482d2437c2e867ade072a1ce38e96d0d21719d7f3a3ad2c99aa95 target_unique=315
daregram epoch=37/50 source_MSE=12.796317 gram=6.714400 source_order_sha256=7d0e00a6ab593ed985877c2bd398d7c047f2a1e99448b6d442e800d41023b3f8 target_unique=315
daregram epoch=38/50 source_MSE=7.726964 gram=4.709913 source_order_sha256=76071b765954ca0fb781276e809df2ea629a884f69aa4c9082cdfb21e307c94f target_unique=315
daregram epoch=39/50 source_MSE=30.954190 gram=3.264115 source_order_sha256=ba7daba61d8c533d04709c6517830527887bd2dfb0b10a4dce62f013d6172ac4 target_unique=315
daregram epoch=40/50 source_MSE=4.690429 gram=5.549542 source_order_sha256=ac5d619c1b52be9946c6783c5c1d4d18df9f8d6988f0eedf47a8358f2d73d09b target_unique=315
daregram epoch=41/50 source_MSE=13.392599 gram=5.260261 source_order_sha256=483263e60ff55979bdfbf5ded3a2399cc4257f0d2ced6fbee8f213677f4aa982 target_unique=315
daregram epoch=42/50 source_MSE=5.001916 gram=2.272511 source_order_sha256=829e52314b41e9ba4571b45d34314913f9f98d0f5363e7c86fab7c8c41a0198a target_unique=315
daregram epoch=43/50 source_MSE=37.998508 gram=5.840475 source_order_sha256=0d5cedff5ae4c887b6007df47594397e6ed6d31eaa45c15c37b4135415e8ca52 target_unique=315
daregram epoch=44/50 source_MSE=46.104979 gram=6.482566 source_order_sha256=fd0939daeab2ee4a377b0db36ef686326d85bfeb84dfab5b8fef2cbf304498fa target_unique=315
daregram epoch=45/50 source_MSE=16.809020 gram=3.504547 source_order_sha256=170be14adc7ea6ef47f65d533b7c2faa3ea88b80a3d0298a05674cc44d16b5c4 target_unique=315
daregram epoch=46/50 source_MSE=7.729468 gram=3.366228 source_order_sha256=ac23b152eac04c95af05f7b453aad90d025363d987f674439bf5002ffa5b5858 target_unique=315
daregram epoch=47/50 source_MSE=14.746974 gram=3.830068 source_order_sha256=b764fb330004077345ccc05e9ada213cadacdf8c6b899cdc6ca9e7ad4b44e6d4 target_unique=315
daregram epoch=48/50 source_MSE=8.565668 gram=3.283066 source_order_sha256=0cac558a3718ec8e5b72247e0340b08c24ad95b196ce8eb890739eb2af1093ac target_unique=315
daregram epoch=49/50 source_MSE=13.835552 gram=5.708215 source_order_sha256=406404fb92f4aad5d2a78fd4ff2d38527bfc4d058c36a2530d17bc9becf36a0b target_unique=315
daregram epoch=50/50 source_MSE=16.005014 gram=1.970913 source_order_sha256=b780ce8227d2bb3cf1653e7aa39d72cf1675583e631d78882555251830271447 target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c1_to_c6\seed_43\daregram\final.pth
